"OO COBOL","1997","","COBOL 85 OSI/ANSI, COBOL 2002 (draft)"
"A","1988","","Sharp APL, A+"
"A+","1992","","A"
"ABC","1987","","B"
"ALGOL 58","1958","","ALGOL 60, Fortran I"
"ALGOL 60","1960","","ALGOL 58, ALGOL 68, CPL, PL/I, Simula I"
"ALGOL 68","1968","December","ALGOL 60, Pascal, Mesa"
"ANSI C (C89)","1989","","C (K&R), ISO C (C90), Python"
"APL","1960","","Sharp APL, APL 2"
"APL 2","1984","August","APL, APL96"
"APL96","1996","","APL 2"
"ActionScript","2000","July","ECMAScript ed3, ActionScript 2.0, Java 2 (v1.4.1)"
"ActionScript 2.0","2003","September","ActionScript"
"Ada","1979","","Pascal, CLU, Ada 83 ANSI"
"Ada 83 ANSI","1983","","Ada, Ada ISO, Eiffel, Oak"
"Ada 95","1995","","Ada ISO"
"Ada ISO","1987","","Ada 83 ANSI, Ada 95"
"AppleScript","1993","","Smalltalk-80, AppleScript 1.3.7"
"AppleScript 1.3.7","1999","","AppleScript"
"B","1969","","BCPL, C"
"B","1981","","ABC"
"B-0","1957","","Flow-Matic"
"BASIC","1964","May 1","MS Basic 2.0"
"BCPL","1967","July","CPL, B"
"Borland Pascal Object","1989","","Pascal AFNOR"
"C","1971","","B, C (K&R)"
"C","1971","","B, C (K&R), awk, csh"
"C (K&R)","1978","","C, C with Classes, Objective-C, Concurrent C, ANSI C (C89)"
"C with Classes","1980","April","C++, C (K&R), Simula 67"
"C#","2000","June 26","C++ ANSI/ISO, Java 2 v1.2, C# (ECMA)"
"C# (ECMA)","2001","December 13","C#, C# ISO"
"C# (ISO)","2003","March 28","C# (ECMA)"
"C++","1983","July","C with Classes, Oak, C++ ANSI/ISO"
"C++ ANSI/ISO","1998","","C++"
"CLU","1974","","Pascal"
"COBOL","1959","","Flow-Matic, COBOL 61"
"COBOL","1965","","COBOL 61 Extended, COBOL 68 ANS"
"COBOL 2002 (draft)","2001","","OO COBOL "
"COBOL 61","1961","","COBOL, COBOL 61 Extended"
"COBOL 61 Extended","1962","","COBOL 61, PL/I, COBOL"
"COBOL 68 ANS","1968","","COBOL, COBOL 74 ANSI"
"COBOL 74 ANSI","1974","","COBOL 68 ANS, COBOL 85 OSI/ANSI"
"COBOL 85 OSI/ANSI","1985","","COBOL 74 ANSI, OO COBOL "
"CPL","1963","","ALGOL 60, BCPL"
"Caml","1987","","SML, Caml 2-6."
"Caml 2-6.1","1991","","Caml, Caml 3.1"
