"FORTRAN IV(FROTRAN 66 ANS)","FORTRAN IV"
"FORTRAN IV(FROTRAN 66 ANS)","FORTRAN V(FORTRAN 77 ANSI)"
"FORTRAN IV(FROTRAN 66 ANS)","PL/I"
"00 Forth","Forth"
"00 Forth","PostScript"
"A","A+"
"A","Sharp APL"
"A+","A"
"ABC","B"
"ALGOL 58","ALGOL 60"
"ALGOL 58","FORTRAN I"
"ALGOL 60","ALGOL 58"
"ALGOL 60","ALGOL 68"
"ALGOL 60","CPL"
"ALGOL 60","PL/1"
"ALGOL 60","Simula I"
"ALGOL 68","ALGOL 60"
"ALGOL 68","CPL"
"ALGOL 68","Mesa"
"ALGOL 68","PL/1"
"ALGOL 68","Pascal"
"ALGOL 68","Simula I"
"ANSI C(C89)","C*K&R)"
"ANSI C(C89)","Concurrent C"
"ANSI C(C89)","ISO C(C90)"
"ANSI C(C89)","Objeective-C"
"ANSI C(C89)","Python"
"APL","APL 2"
"APL","Sharp APL"
"APL 2","APL"
"APL 2","APL 96"
"APL 2","J"
"APL 2","K"
"APL 2","Sharp APL"
"APL 2","APL"
"APL 2","Sharp APL"
"APL96","APL 2"
"APL96","J"
"APL96","K"
"ActionScript","ActionScript 2.0"
"ActionScript","ECMAScript ed3"
"ActionScript 2.0","ActionScript"
"ActionScript 2.0","Java 2(1.4.1)"
"ActionScript 2.0","Java 2(1.4.1_02)"
"Ada","Ada 83 ANSI"
"Ada","CLU"
"Ada","Pascal"
"Ada 83 ANSI","Ada"
"Ada 83 ANSI","Ada ISO"
"Ada 83 ANSI","Eiffel"
"Ada 83 ANSI","Oak"
"Ada 95","Ada ISO"
"Ada ISO","Ada 83 ANSI"
"Ada ISO","Eiffel"
"Ada ISO","Oak"
"AppleScript","AppleScript 1.3.7"
"AppleScript","SmallTalk-80"
"AppleScript 1.3.7","AppleScript"
"B","BCPL"
"B","C"
"B","ABC"
"B-O","Flow-Matic"
"BCPL","B"
"BCPL","CPL"
"Basic","Ms Basic 2.0"
"Borland Pascal Object","Pascal Afnor"
"C","B"
"C","C(K&R)"
"C","awk"
"C","csh"
"C With Classes","C(K&R)"
"C With Classes","C++"
"C With Classes","Simula 67"
"C#","C#(ECMA)"
"C#","C++ ANSI/ISO"
"C#","Java 2(v1.2)"
"C#(ECMA)","C#"
"C#(ECMA)","C#(ISO)"
"C(K&R)","ANSI C(C89)"
"C(K&R)","C"
"C(K&R)","Concurrent C"
"C(K&R)","Objective-C"
"C(K&R)","awk"
"C(K&R)","csh"
"C++","C With Classes"
"C++","C++ ANSI/ISO"
"C++","JavaScript"
"C++","Oak"
"C++ ANSI/ISO","C#"
"C++ ANSI/ISO","C++"
"C++ ANSI/ISO","JavaScript"
"C++ ANSI/ISO","Oak"
"CLU","Ada"
"CLU","Pascal"
"CMM","LiveScript"
"COBOL","COBOL61"
"COBOL","Flow-Matic"
"COBOL","COBOL 61 ANS"
"COBOL","COBOL61 EXTENDED"
"COBOL","PL/I"
"COBOL 2002(draft)","OO COBOL"
"COBOL 68 ANS","COBOL"
"COBOL 68 ANS","COBOL 74 ANSI"
"COBOL 74 ANSI","COBOL 68 ANS"
"COBOL 74 ANSI","COBOL 85 OSI/ANSI"
"COBOL 85 OSI/ANSI","COBOL 74 ANSI"
"COBOL 85 OSI/ANSI","OO COBOL"
"COBOL61","COBOL"
"COBOL61","COBOL61 EXTENDED"
"COBOL61 EXTENDED","COBOL"
"COBOL61 EXTENDED","COBOL 61"
"COBOL61 EXTENDED","PL/I"
"CPL","ALGOL 60"
"CPL","BCPL"
"Caml","Caml 2-6.1"
"Caml","SML"
"Caml 2-6.1","Caml"
"Caml 2-6.1","Caml 3.1"
"Caml 3.1","Caml 2-6.1"
"Caml 3.1","Objective Caml"
"Cedar","Mesa"
"Cedar","Oak"
"Clos","Common Lisp"
"Clos","Dylan"
"Clos","Haskel 1.0"
"Common Lisp","Common Lisp ANSI"
"Common Lisp","LISP 1.5"
"Common Lisp","LOGO"
"Common Lisp","Smalltalk"
"Common Lisp ANSI","Common Lisp"
"Concurrent C","C(K&R)"
"Delphi","Delphi 5"
"Delphi","Visual basic 1.0"
"Delphi","Visual basic 6.0"
"Delphi 5","Delphi"
"Delphi 5","Delphi 6"
"Delphi 6","Delphi 5"
"Delphi 6","Delphi 7"
"Delphi 7","Delphi 6"
"Dylan","Clos"
"Dylan","Smalltalk-80"
"ECMAScript","ECMAScript ed3"
"ECMAScript","JavaScript"
"ECMAScript ed3","ActionScript"
"ECMAScript ed3","ECMAScript"
"ECMAScript ed3","JScript"
"ECMAScript ed3","JavaScript"
"ECMAScript ed3","JavaScript 1.5"
"Eiffel","Ada 83 ANSI"
"Eiffel","Eiffel 2"
"Eiffel","Simula 67"
"Eiffel 2","Eiffel"
"Eiffel 2","Eiffel 3"
"Eiffel 3","Eiffel 2"
"Eiffel 3","Eiffel 4"
"Eiffel 4","Eiffel 3"
"Eiffel 4","Eiffel 4.2"
"Eiffel 4.2","Eiffel 4"
"FORTRAN I","ALGOL 58"
"FORTRAN I","FORTRAN"
"FORTRAN II","ALGOL 58"
"FORTRAN II","FORTRAN I"
"FORTRAN III","FORTRAN II"
"FORTRAN III","FORTRAN IV"
"FORTRAN IV","FORTRAN III"
"FORTRAN IV","FORTRAN IV(FROTRAN 66 ANS)"
"FORTRAN IV","PL/I"
"FORTRAN V(FORTRAN 77 ANSI)","FORTRAN IV(FORTRAN 66 ANS)"
"FORTRAN V(FORTRAN 77 ANSI)","Fortran 90 ISO"
"Flow-Matic","B-O"
"Flow-Matic","COBOL"
"Forth","00 Forth"
"Forth","PostScript"
"Fortran","Fortran I"
"Fortran 2000(Draft)","Fortran 95 ISO"
"Fortran 90 ISO","FORTRAN V(FORTRAN 77 ANSI)"
"Fortran 90 ISO","Fortran 95 ISO"
"Fortran 95 ISO","Fortran 2000(Draft)"
"Fortran 95 ISO","Fortran 90 ISO"
"Haskel 1.0","Clos"
"Haskel 1.0","Haskel 1.1"
"Haskel 1.0","Miranda"
"Haskel 1.1","Clos"
"Haskel 1.1","Haskel 1.0"
"Haskel 1.1","Haskel 1.2"
"Haskel 1.2","Haskel 1.1"
"Haskel 1.2","Haskel 1.3"
"Haskel 1.3","Haskel 1.2"
"Haskel 1.3","Haskel 1.4"
"Haskel 1.4","Haskel 1.3"
"Haskel 1.4","Haskel 98"
"Haskel 98","Haskel 1.4"
"ISO C(C90)","ANSI C(C89)"
"ISO C(C90)","ISO C(C95)"
"ISO C(C90)","Python"
"ISO C(C95)","ISO C(C90)"
"ISO C(C95)","ISO C(C99)"
"ISO C(C95)","Objective-C"
"ISO C(C99)","ISO C(C95)"
"ISO C(C99)","Objective-C"
"ISWIM","N/A"
"Icon","N/A"
"J","K"
"J","Sharp APL"
"JScript","ECMA Script Ed3"
"JScript","JScript"
"JScript","JScript"
"JScript","JavaScript"
"Java 1","Java 2(v1.2)"
"Java 1","NetRexx"
"Java 1","Oak"
"Java 2(v1.2)","C#"
"Java 2(v1.2)","Java 1"
"Java 2(v1.2)","Java 2(v1.3)"
"Java 2(v1.3)","C#"
"Java 2(v1.3)","Java 2(v1.2)"
"Java 2(v1.3)","Java 2(v1.4) early access"
"Java 2(v1.4) early access","Java 2(v1.3)"
"Java 2(v1.4) early access","Java 2(v1.4.0_01)"
"Java 2(v1.4.0_01)","ActionScript"
"Java 2(v1.4.0_01)","Java 2(v1.4)early access"
"Java 2(v1.4.0_01)","Java 2(v1.4.1)"
"Java 2(v1.4.1)","ActionScript"
"Java 2(v1.4.1)","Java 2(v1.4.0_01)"
"Java 2(v1.4.1)","Java 2(v1.4.1_02)"
"Java 2(v1.4.1_02)","ActionScript"
"Java 2(v1.4.1_02)","Java 2(v1.4.1)"
"Java 2(v1.4.1_02)","Java 2(v1.4.1_03)"
"Java 2(v1.4.1_03)","Java 2(v1.4.1_02)"
"Java 2(v1.4.1_03)","Java 2(v1.5)"
"Java 2(v1.5)","Java 2(v1.4.1_03)"
"JavaScript","C++"
"JavaScript","C++ ANSI/ISO"
"JavaScript","ECMAScript"
"JavaScript","ECMAScript ed3"
"JavaScript","JScript"
"JavaScript","JavaScript 1.5"
"JavaScript","LiveScript"
"JavaScript","VBScript"
"JavaScript 1.5","C++"
"JavaScript 1.5","C++ ANSI/ISO"
"JavaScript 1.5","ECMAScript"
"JavaScript 1.5","ECMAScript ed3"
"JavaScript 1.5","JScript"
"JavaScript 1.5","JavaScript"
"JavaScript 1.5","VBScript"
"K","APL 2"
"K","J"
"KRC","Miranda"
"KRC","SASL"
"LISP","LISP 1"
"LISP 1","LISP"
"LISP 1","LISP 1.5"
"LISP 1.5","Common Lisp"
