"A","A+"
"A","A+"
"A","Sharp APL"
"A","Sharp APL"
"A+","A"
"A+","A"
"ABC","B"
"ABC","B"
"ABC","Python"
"ALGOL 58","ALGOL 60"
"ALGOL 58","ALGOL 60"
"ALGOL 58","FORTRAN I"
"ALGOL 58","Fortran I"
"ALGOL 60","ALGOL 58"
"ALGOL 60","ALGOL 58"
"ALGOL 60","ALGOL 68"
"ALGOL 60","ALGOL 68"
"ALGOL 60","CPL"
"ALGOL 60","CPL"
"ALGOL 60","PL/I"
"ALGOL 60","PL/I"
"ALGOL 60","Simula I"
"ALGOL 60","Simula I"
"ALGOL 68","ALGOL 60"
"ALGOL 68","ALGOL 60"
"ALGOL 68","Mesa"
"ALGOL 68","Mesa"
"ALGOL 68","Pascal"
"ALGOL 68","Pascal"
"ANSI C (C89)","C (K&R)"
"ANSI C (C89)","C (K&R)"
"ANSI C (C89)","ISO C (C90)"
"ANSI C (C89)","ISO C (C90)"
"ANSI C (C89)","Python"
"ANSI C (C89)","Python"
"APL","APL 2"
"APL","APL 2"
"APL","Sharp APL"
"APL","Sharp APL"
"APL 2","APL"
"APL 2","APL"
"APL 2","APL96"
"APL 2","APL96"
"APL96","APL 2"
"APL96","APL 2"
"ActionScript","ActionScript 2.0"
"ActionScript","ActionScript 2.0"
"ActionScript","ECMAScript ed3"
"ActionScript","ECMAScript ed3"
"ActionScript","Java 2 (v1.4.1)"
"ActionScript 2.0","ActionScript"
"ActionScript 2.0","ActionScript"
"ActionScript 2.0","Java 2 (v1.4.1)"
"Ada","Ada 83 ANSI"
"Ada","Ada 83 ANSI"
"Ada","CLU"
"Ada","CLU"
"Ada","Pascal"
"Ada","Pascal"
"Ada 83 ANSI","Ada"
"Ada 83 ANSI","Ada"
"Ada 83 ANSI","Ada ISO"
"Ada 83 ANSI","Ada ISO"
"Ada 83 ANSI","Eiffel"
"Ada 83 ANSI","Eiffel"
"Ada 83 ANSI","Oak"
"Ada 83 ANSI","Oak"
"Ada 95","Ada ISO"
"Ada 95","Ada ISO"
"Ada ISO","Ada 83 ANSI"
"Ada ISO","Ada 83 ANSI"
"Ada ISO","Ada 95"
"Ada ISO","Ada 95"
"AppleScript","AppleScript 1.3.7"
"AppleScript","AppleScript 1.3.7"
"AppleScript","Smalltalk-80"
"AppleScript","Smalltalk-80"
"AppleScript 1.3.7","AppleScript"
"AppleScript 1.3.7","AppleScript"
"B","ABC"
"B","ABC"
"B","BCPL"
"B","BCPL"
"B","C"
"B","C"
"B-0","Flow-Matic"
"B-0","Flow-Matic"
"BASIC","MS Basic 2.0"
"BASIC","MS Basic 2.0"
"BCPL","B"
"BCPL","B"
"BCPL","CPL"
"BCPL","CPL"
"Borland Pascal Object","Delphi"
"Borland Pascal Object","Pascal AFNOR"
"Borland Pascal Object","Pascal AFNOR"
"C","B"
"C","B"
"C","C (K&R)"
"C","C (K&R)"
"C","awk"
"C","awk"
"C","csh"
"C","csh"
"C (K&R)","ANSI C (C89)"
"C (K&R)","ANSI C (C89)"
"C (K&R)","C"
"C (K&R)","C"
"C (K&R)","C with Classes"
"C (K&R)","C with Classes"
"C (K&R)","Concurrent"
"C (K&R)","Concurrent C"
"C (K&R)","Objective-C"
"C (K&R)","Objective-C"
"C with Classes","C (K&R)"
"C with Classes","C (K&R)"
"C with Classes","C++"
"C with Classes","C++"
"C with Classes","Simula 67"
"C with Classes","Simula 67"
"C#","C# (ECMA)"
"C#","C# (ECMA)"
"C#","C++ ANSI/ISO"
"C#","C++ ANSI/ISO"
"C#","Java (v1.2)"
